,spoc,riemann,n_components,fold_idx
4,0.4333519659795312,0.20012516080036524,5,4
5,0.3897355084830215,-0.1734965875754222,5,5
6,0.36877693617321716,0.2324617180844546,5,6
7,0.4179261933050924,-0.03686394291201878,5,7
8,0.38530078545249236,0.26311526070450686,5,8
9,0.3850630450535888,-0.07272648629321754,5,9
0,0.38492180308964963,0.0538360795277415,6,0
1,0.5674189968564758,-0.13332954571570177,6,1
2,0.5740759891045104,0.15565445304808223,6,2
3,0.5160909442181356,-0.12877332868157976,6,3
4,0.2666385391494217,-0.07513553058007649,6,4
5,0.41794251732922316,0.08663919726559177,6,5
6,0.2666385391494217,0.17663436794441534,6,6
7,0.6580662066150489,-0.026520544974248272,6,7
8,0.5604063781307491,0.24271984574210692,6,8
9,0.586479344179633,0.047989418030387476,6,9
0,0.3297043150276139,0.06040974863323323,7,0
1,0.4404175180687354,-0.5013968556032409,7,1
2,0.2565767343257125,-0.4616540714901727,7,2
3,0.4404175180687354,-0.17899495044701474,7,3
4,0.3398147515403215,0.2253677475749546,7,4
5,0.3915809931204316,0.025636373253594025,7,5
6,0.5690557694850985,0.0315142083320038,7,6
7,0.6330237737696474,0.06040974863323323,7,7
8,0.33615781364902286,-0.3889868972882975,7,8
9,0.45918679942402085,-0.025355340797736936,7,9
0,0.4672553777728685,-0.3858282955262953,8,0
1,0.7389439524664385,-0.4451049920538841,8,1
2,0.46175183682717935,0.12029772385670467,8,2
3,0.5697458106779554,-0.04811150486018456,8,3
4,0.3208846584592189,-0.2243900685648943,8,4
5,0.300927075997957,-0.00957336307327239,8,5
6,0.3446970282813432,-0.04811150486018456,8,6
7,0.1262548823632581,0.05649377637033737,8,7
8,0.41506165772205006,-0.004316281015252388,8,8
9,0.554787489854925,-0.07126523534288576,8,9
0,0.2090964384835463,-0.30425362941708034,9,0
1,0.311560098328583,0.0561311317061266,9,1
2,0.4585417762658359,-0.2284947541580662,9,2
3,0.41770629156199424,-0.3214054684072738,9,3
4,0.3703588147326382,-0.2778634061954661,9,4
5,0.42705674625351664,0.03528830577703812,9,5
6,0.5713011236378579,-0.2284947541580662,9,6
7,0.3703588147326382,-0.5676116985178481,9,7
8,0.6630798745281825,0.17385698924858672,9,8
9,0.1913214617658492,-0.2778634061954661,9,9
0,0.6431143021825501,-0.12230171888993113,10,0
1,0.6373076053821918,-0.1644347650972644,10,1
2,0.20375884594545557,-0.5104488652352097,10,2
3,0.6585985207809336,0.21874045058858638,10,3
4,0.29622158828023915,-0.04772197839577497,10,4
5,0.32792615699497907,-0.4691045932261031,10,5
6,0.3689495625264061,-0.022466413426560194,10,6
7,0.4355426386405874,-0.5447328275221734,10,7
8,0.29622158828023915,0.03763487119219322,10,8
9,0.36908636219316193,0.21874045058858638,10,9
0,0.5909448145750239,0.2186922547163549,11,0
1,0.28937308742527346,0.029936961952982122,11,1
2,0.31063946373838613,0.029936961952982122,11,2
3,0.5260196559595645,-0.010310868292167541,11,3
4,0.6319471385210355,-0.09070315375085847,11,4
5,0.5059107309412265,-0.017001181325212666,11,5
6,0.36610793407327225,0.11566374118102007,11,6
7,0.21129344260624183,-0.058121175988606444,11,7
8,0.21129344260624183,-0.09070315375085847,11,8
9,0.5059107309412265,-0.3903489659696464,11,9
0,0.592044101430321,-0.8550256406743646,12,0
1,0.617799966614651,-0.07437557967616404,12,1
2,0.5499112935368029,0.20191100313432653,12,2
3,0.3496177199599648,0.11071386753660017,12,3
4,0.3716343979333888,0.18784432373219162,12,4
5,0.6230701039134993,0.11071386753660017,12,5
6,0.26876360940810295,0.2613362008042076,12,6
7,0.556065917718469,0.015884268581432548,12,7
8,0.18689434930048532,0.16637036731538668,12,8
9,0.556065917718469,0.39895865134077424,12,9
0,0.5335107866038431,-0.19442278752278264,13,0
1,0.6167162382424769,0.10022095509723439,13,1
2,0.6517105087381869,0.1344394039164688,13,2
3,0.10612309562103084,0.24657855469613787,13,3
4,0.26728582593469963,-0.18294051081675589,13,4
5,0.4111990578775988,0.10022095509723439,13,5
6,0.5335107866038431,0.3403953047919567,13,6
7,0.28976634085353525,0.21574251157179458,13,7
8,0.3949638003106859,-0.18294051081675589,13,8
9,0.6141645265726465,0.12263668833553709,13,9
0,0.10585578913467031,0.18122422769290614,14,0
1,0.4290122563245963,0.2409876968488326,14,1
2,0.2739487051979288,0.4657246580573755,14,2
3,0.6514571285404034,0.4657246580573755,14,3
4,0.5443464445647765,0.2180164162080439,14,4
5,0.5863332299866606,-0.48793244787241163,14,5
6,0.291387052469932,0.3721673263869939,14,6
7,0.2199935355935455,0.299691683651067,14,7
8,0.291387052469932,0.2231183919337334,14,8
9,0.40108295479680045,0.21521652831393112,14,9
0,0.561292730698726,-0.04423884110626797,15,0
1,0.5732691836088225,0.08421398116338674,15,1
2,0.6295012437579892,0.08421398116338674,15,2
3,0.3780315878276699,0.4311240438300791,15,3
4,0.39721684870647755,0.024994624799328236,15,4
5,0.588763076259743,0.1397933340306573,15,5
6,0.3780315878276699,0.13204474933631238,15,6
7,0.37319244827878406,0.2374348236717848,15,7
8,0.11070795339714179,-0.014848029635347926,15,8
9,0.250294662315277,0.46935902888313286,15,9
0,0.3328139443113496,-0.04405599763010781,16,0
1,0.2889922017775467,0.1263499466570711,16,1
2,0.5123174299600859,0.229692734209471,16,2
3,0.5843451147964879,0.19349666043869795,16,3
4,0.3835051732653648,0.19349666043869795,16,4
5,0.41995225273960224,-0.08583636644055104,16,5
6,0.5059132984623304,-0.08703376592943379,16,6
7,0.35068711044907264,0.23724442961543346,16,7
8,0.5182546545740625,0.1263499466570711,16,8
9,0.49922962632235857,-0.15539886549383053,16,9
0,0.29192405535175525,-0.09339022117366502,17,0
1,0.16615404994524885,-0.5462193537855866,17,1
2,0.2881271922598728,0.05286913428692008,17,2
3,0.4350971822730233,0.05286913428692008,17,3
4,0.4027749833329396,-0.09339022117366502,17,4
5,0.23949973797121016,0.004302994903579327,17,5
6,0.38630731321924394,0.3307929240500529,17,6
7,0.3338739183383447,0.20340773516470656,17,7
8,0.40397787113369954,0.20340773516470656,17,8
9,0.5801233972697876,0.02563922193198065,17,9
0,0.2508700361670031,0.10494047487003799,18,0
1,0.4004737074385021,0.19125196739382144,18,1
2,0.3954635815392785,0.12111101767013288,18,2
3,0.32623453807124503,-0.24291965372404123,18,3
4,0.33701468973487725,0.264989386938022,18,4
5,0.42828257628956024,-0.3519302682810741,18,5
6,0.3606370206915964,-0.517758453500617,18,6
7,0.2987826080386875,-0.24066012294702266,18,7
8,0.2303238842844395,0.18639043979547754,18,8
9,0.5784055802189885,-0.10851161414243893,18,9
0,0.26165478413988374,-0.03910012108394634,19,0
1,0.5744508482691761,-0.2793026569135688,19,1
2,0.5059969836272498,-0.2793026569135688,19,2
3,0.4960132562780145,0.03742817253292374,19,3
4,0.16471522136058714,-0.39447386493151093,19,4
5,0.40667555524934285,-0.5841723506494412,19,5
6,0.36540382140227246,-0.5841723506494412,19,6
7,0.3868849486875465,0.03742817253292374,19,7
8,0.36283112548010255,-0.5498126669390775,19,8
9,0.5855746250927187,-0.5632525759953422,19,9
0,0.5398082297657278,-0.18577228372916532,20,0
1,0.4093307083882015,-0.07233905209958391,20,1
2,0.47997820695134896,-0.13190932848037118,20,2
3,0.4133701127247358,0.04005770939550979,20,3
4,0.4048117074948271,-0.06674710406548767,20,4
5,0.4048117074948271,-0.13382152509708045,20,5
6,0.33096565729225946,0.059539991784594015,20,6
7,0.5857853231387458,-0.44173392870821404,20,7
8,0.3537115941092671,0.06356444493103641,20,8
9,0.43939248982103574,-0.33677539391597033,20,9
0,0.5643920269598488,-0.17996656005265654,21,0
1,0.3053214110370063,-0.06067599040040306,21,1
2,0.41459549937263707,0.18189965500231808,21,2
3,0.42989410213703483,-0.20417375938737026,21,3
4,0.5837031362999926,0.17053474206475105,21,4
5,0.49712701867889597,-0.1068483982831121,21,5
6,0.49712701867889597,-0.1878018170074558,21,6
7,0.4193970786965453,0.1059007762431764,21,7
8,0.14195784906642772,0.07017712493379313,21,8
9,0.41459549937263707,-0.2310933745386472,21,9
0,0.5040441063370921,0.2346914777548349,22,0
1,0.3763286208348924,0.2346914777548349,22,1
2,0.3431437170235827,-0.08403858673034836,22,2
3,0.3614981820067543,0.1063035158218052,22,3
4,0.3284129975925797,0.09731276530005928,22,4
5,0.28468855821399597,0.2378403535058542,22,5
6,0.4053649189437285,0.06771317283759248,22,6
7,0.4913669083993786,0.09731276530005928,22,7
8,0.35888923173258336,0.2754699481227555,22,8
9,0.1209569196401632,0.03652043301969854,22,9
0,0.36233185596796214,-0.09365274845584048,23,0
1,0.4665061863475056,-0.01386631056945542,23,1
2,0.13381979838425984,0.20879863260088982,23,2
3,0.32923233811139707,0.08211604178813992,23,3
4,0.35977855619023447,0.251563498282255,23,4
5,0.4665061863475056,0.32743553809267867,23,5
6,0.442978163688734,0.251563498282255,23,6
7,0.23411266822237864,0.32743553809267867,23,7
8,0.32923233811139707,0.034553315465061685,23,8
9,0.46157093350883927,0.1708314840919939,23,9
0,0.35434900336191055,0.08422714866238123,24,0
1,0.4015854552542547,0.21767039648665953,24,1
2,0.2579223734942546,0.12193970341054583,24,2
3,0.3448731115269966,0.529977409245156,24,3
4,0.5663012457898445,0.3142121521532971,24,4
5,0.4012313317653604,0.1714587369949886,24,5
6,0.29491968262577095,0.30563038349607863,24,6
7,0.35434900336191055,0.11334148378780151,24,7
8,0.3919524279799803,0.11334148378780151,24,8
9,0.4012313317653604,0.12804363024698884,24,9
0,0.23741728027572118,0.4527104242246076,25,0
