,spoc,riemann,n_components,fold_idx
1,10.762540308323901,10.002317646985443,7,1
2,11.304422204632791,10.168897555661504,7,2
3,11.262801206118663,10.293463585476236,7,3
4,9.821880928832773,10.120628904413328,7,4
5,10.231321130612065,7.982100073329733,7,5
6,9.655519959040475,9.288451869196672,7,6
7,9.858099312073275,8.931296052818379,7,7
8,10.839289557109298,10.381433257426147,7,8
9,10.230688572655431,9.737940129447175,7,9
0,10.650827097183722,10.34322952269208,8,0
1,10.874648268278348,10.464079895201051,8,1
2,10.765352156598308,10.223588749176352,8,2
3,11.242524511338079,9.959975183157066,8,3
4,9.944528707442675,9.747774704073983,8,4
5,10.106286540126815,8.795483785084414,8,5
6,9.489534367856697,8.799739487603052,8,6
7,9.814396728375069,8.57372186811175,8,7
8,10.526935229912837,9.951627387334005,8,8
9,9.632289915877076,9.36041662116521,8,9
0,10.27726394401651,10.0816974688558,9,0
1,10.660486789029218,9.741893155654854,9,1
2,10.442141328085654,9.288326039556162,9,2
3,10.910662262887877,9.190633409030127,9,3
4,10.005777658871773,9.30151964469402,9,4
5,10.044296128328721,8.54760383032814,9,5
6,9.59088040005543,7.718358556366517,9,6
7,9.539167456776187,7.936005059112693,9,7
8,10.654126582245823,9.540871935604914,9,8
9,9.732376210538959,9.113094387672012,9,9
0,10.124958817174553,9.410518823759718,10,0
1,10.843664168217066,9.827518165040862,10,1
2,10.543820372113773,9.192429255125724,10,2
3,10.800861969766688,9.38613126963469,10,3
4,9.76527435118333,9.570349360983368,10,4
5,10.167889886585359,8.466529537344435,10,5
6,9.163294824653853,7.8263347422323495,10,6
7,9.428509610667565,7.948014882868002,10,7
8,10.278433842926168,9.73530454041458,10,8
9,9.791263412845867,9.438544816199691,10,9
0,9.972465518873493,9.243197118538426,11,0
1,10.625688831660142,9.649695324116347,11,1
2,10.353125689582278,9.036972161781472,11,2
3,10.31623272262017,9.184466002794192,11,3
4,9.948444989829829,9.650288817793042,11,4
5,9.855221900749527,8.824913938789715,11,5
6,8.989465811543782,7.728549081632066,11,6
7,9.412027913207702,7.664206827494272,11,7
8,10.048667882285907,9.804328187958891,11,8
9,9.60301301490629,9.519857352558196,11,9
0,9.71366897807427,8.892828914208268,12,0
1,10.525277643713672,9.436026154739572,12,1
2,10.388393832640654,8.940564969422415,12,2
3,10.669168818528618,9.0293299550221,12,3
4,10.074277272738842,9.512487094096887,12,4
5,9.621954661415245,8.805630041813231,12,5
6,9.154594210853988,7.364750778973837,12,6
7,9.456469037531793,7.714931391985191,12,7
8,9.965012800057764,9.349395976135066,12,8
9,9.547065160970151,9.425480291592937,12,9
0,9.46131351319659,8.813201543799535,13,0
1,10.615786069026331,9.396078213010561,13,1
2,10.001532224913461,8.934841136676578,13,2
3,10.425721117760622,8.823087746749946,13,3
4,9.871919779638038,9.214251128932716,13,4
5,9.539540305438365,8.593780810286514,13,5
6,9.232453585995033,7.236030890132679,13,6
7,9.438895244088698,7.656238176631454,13,7
8,9.921587722396739,9.11582909530691,13,8
9,9.455109236806246,9.440123473483775,13,9
0,9.453623455335974,8.730763165411195,14,0
1,10.618165166123232,9.459541086929748,14,1
2,9.960213883850933,9.139597347102507,14,2
3,10.413118027965265,8.704348836686565,14,3
4,9.901961108470879,8.716704674342195,14,4
5,9.657060797613482,8.176313923354629,14,5
6,9.270205623322893,6.999201415640434,14,6
