,spoc,riemann,n_components,fold_idx
0,12.683513788408368,14.238139037635584,1,0
1,14.06532223650137,14.678831069381687,1,1
2,11.400264186673244,14.153453292979236,1,2
3,13.252862863819706,16.739592023516437,1,3
4,15.223455692196582,14.756074821947257,1,4
5,12.714985513878558,15.195176739476553,1,5
6,11.775979678246573,11.37124106376405,1,6
7,12.650258441278892,14.382999876226174,1,7
8,11.931099904981181,14.119115907706453,1,8
9,12.689209525468208,13.829920413483292,1,9
0,12.96534503880588,13.898673025075528,2,0
1,12.3823532730543,12.817760532437445,2,1
2,11.679433459674287,11.85097801275614,2,2
3,12.811605791859193,15.552707637595393,2,3
4,14.8245204496862,15.369840507206213,2,4
5,11.943848741566592,14.92774690480791,2,5
6,11.273181102266031,11.979553814426092,2,6
7,11.992326933503437,12.765588740407544,2,7
8,10.605456487415053,13.567463010929071,2,8
9,12.70745656688588,11.282105110704583,2,9
0,12.469758779710352,12.573748697727153,3,0
1,11.935032871872316,11.841491359003296,3,1
2,11.63075314729586,12.25381882185007,3,2
3,12.808291251013436,11.89924901055156,3,3
4,15.021528770671166,13.77864366238403,3,4
5,11.470451943663296,12.980532194944846,3,5
6,10.803291800255124,11.30595687615471,3,6
7,11.764589786761455,12.646101865501036,3,7
8,11.134869780636018,12.098197624163081,3,8
9,12.255162466397042,10.374082744172272,3,9
0,12.786314251331824,11.749127615642708,4,0
1,12.046982552372302,11.026404494242103,4,1
2,11.132129028946093,11.423282362838085,4,2
3,12.754605111686718,12.200082163808128,4,3
4,14.209360593512482,13.254071260180556,4,4
5,11.541705293920398,11.583511801803098,4,5
6,10.465650832726475,10.933241997520557,4,6
7,11.960235370094983,13.143732779726896,4,7
8,11.40618230523447,10.814285517470342,4,8
9,12.336675034334993,10.695120759362855,4,9
0,12.802181181333456,11.807828066434762,5,0
1,11.387634933333599,11.007430171969844,5,1
2,11.136124869849542,9.886093975023929,5,2
3,12.483421473512236,12.49221920169672,5,3
4,14.363485779946252,12.069321991534064,5,4
5,12.629850076443214,11.239607135347418,5,5
6,10.359631176224061,11.205588480505378,5,6
7,11.774195248057474,12.217958985998589,5,7
8,11.26957008487316,10.883384481997542,5,8
9,12.559981532530799,9.212940133864171,5,9
0,12.597337817524533,10.477488574059866,6,0
1,11.32028727915723,9.80572028054998,6,1
2,11.004294721271398,10.564007877556067,6,2
3,12.029822468103909,11.58876271854889,6,3
4,13.814091395264368,12.080345789735555,6,4
5,12.701275615471044,10.340350239762305,6,5
6,10.197170104934616,10.345863160074664,6,6
7,11.156495852561465,10.86531289501695,6,7
8,11.394182215328367,10.14619918858188,6,8
9,12.816201586578432,9.55722692607809,6,9
0,10.016717248190702,10.160506239916488,7,0
1,10.983340246417514,9.18046056363667,7,1
2,11.473750784525496,9.078481054571977,7,2
3,12.124839929362171,10.792189860269332,7,3
4,13.2182975253493,10.757102487385367,7,4
5,11.39063261230537,10.55312144068451,7,5
6,9.743027349252348,10.01640558205205,7,6
7,10.08484015933236,10.416413142817762,7,7
8,10.504827723767251,9.998805666443284,7,8
9,11.120807989797136,8.873662145069687,7,9
0,10.155537522926876,9.93624705081684,8,0
1,10.368506638792944,9.430183761937496,8,1
2,10.653953698226351,9.3866074319979,8,2
3,11.715732721392325,10.608702975310274,8,3
4,12.301798154601293,10.894303514955709,8,4
5,11.054627614021701,10.567988977110671,8,5
6,9.802642617082478,9.645350277388014,8,6
7,10.097859671737705,10.025223398681073,8,7
8,10.027503785335751,9.780167353123593,8,8
9,10.617512357987,9.193644328797534,8,9
0,10.301134247533408,9.804483090587592,9,0
1,10.378219550387326,9.120147320358745,9,1
2,10.521542245131052,9.006760327059753,9,2
3,11.704455477553244,10.573157981533491,9,3
4,12.19229555135426,11.500089925655443,9,4
5,10.704777746086565,10.024782158230375,9,5
6,9.786314053661288,10.066865862357327,9,6
7,10.024732136831746,10.068825639312164,9,7
8,9.966176464144564,9.56601853662283,9,8
9,10.807878974830974,9.97338259826189,9,9
0,10.329256728115435,10.321036483613145,10,0
1,10.248502132615183,8.505692045073861,10,1
2,10.384885178514187,9.157641399943328,10,2
3,11.590367472189056,10.611988776263718,10,3
4,11.922197487872223,10.940329539802384,10,4
5,10.504582591537323,9.584629229560523,10,5
6,10.482555974333568,9.51463650442851,10,6
7,10.153772514677911,9.232469270278939,10,7
8,9.557230853493188,9.424586527899073,10,8
9,10.610572478400492,10.225411993432198,10,9
0,10.507002359070459,10.381397692146658,11,0
1,9.625615125425709,8.418165065327477,11,1
2,10.463351184673478,8.81666239124512,11,2
3,10.501760103591339,10.699767395522148,11,3
4,11.838984643887553,10.489871916485052,11,4
5,10.423775002674358,9.746535641452777,11,5
6,10.395947693574195,8.754084761645338,11,6
7,9.91809414125083,9.452786360257166,11,7
8,9.05963768165197,9.457766368090303,11,8
9,10.488152292908286,10.451304488803713,11,9
0,10.443922761566363,10.009333623014633,12,0
1,9.6524246401931,8.940872074170027,12,1
2,10.351725814277673,9.372643123161701,12,2
3,10.399444559264605,10.388807652872329,12,3
4,11.580488638018297,10.499070349241913,12,4
5,10.370148808863638,10.42993942314514,12,5
6,10.450074101510722,8.44405736726502,12,6
7,9.637351415760934,9.663932346383932,12,7
8,8.680408950996542,10.322826595999528,12,8
9,10.470356100953376,10.060911331915916,12,9
0,10.228387853009831,9.036885490145442,13,0
1,9.180934646114157,8.307831325247449,13,1
2,10.113128174592385,9.164736478246997,13,2
3,10.370857084104236,10.305285212585803,13,3
4,10.843374336565594,9.679457411975344,13,4
5,10.63128866712799,10.019607852374186,13,5
6,9.992145903787213,9.520435270536657,13,6
7,9.561949903535094,9.08702808121224,13,7
8,9.126950106908087,8.810614266230742,13,8
9,10.625374553697885,9.7716861435978,13,9
0,10.249978268602632,9.164660157166228,14,0
1,9.135904952805305,8.280408390321192,14,1
2,9.90915154643778,9.016554367349814,14,2
3,10.263578458789322,9.960361225436626,14,3
4,10.709974214078608,10.19481570843836,14,4
5,10.527353736968745,9.564801136826597,14,5
6,9.658698827221432,9.835239393611898,14,6
7,9.679987604056532,9.318782524503433,14,7
8,8.816314115143829,9.180409854919253,14,8
9,10.308278729976154,10.056325075042901,14,9
0,10.071316817881415,8.706163634057242,15,0
1,9.105137429942582,8.44243974992929,15,1
2,9.704978661852074,9.413363049594626,15,2
3,10.255661700789641,10.052778199648493,15,3
4,10.470440172576343,10.497590118150805,15,4
5,9.827751625354987,9.589178735878574,15,5
6,9.521385395943133,9.853106134564477,15,6
7,9.528252217249083,9.394320317531323,15,7
8,8.707883587252281,9.187887786775855,15,8
9,10.525877586665901,10.012681937862906,15,9
0,10.349699251467431,9.270468848047967,16,0
1,9.23209220770894,9.040476152655835,16,1
2,9.57502055630385,9.665440703884604,16,2
3,9.953373437045041,9.946478179418865,16,3
4,10.144047996231956,10.654971617568313,16,4
5,9.892775973193615,10.045259685399776,16,5
6,9.507166611217015,10.275813658648612,16,6
7,9.53381187944965,9.898083271589181,16,7
8,8.50735883958911,9.129505474072777,16,8
9,10.459061887374812,10.311282664527242,16,9
0,10.42818020248958,9.988697406912866,17,0
1,9.460319540624113,9.320902640272324,17,1
2,9.621048065431172,9.671669073762331,17,2
3,10.043265630505182,10.082830222734591,17,3
4,10.131638681820277,10.863355334060909,17,4
5,10.293806583518393,9.569605502696785,17,5
6,9.02852375982632,11.126230323084497,17,6
7,9.684923660154904,9.812423392330242,17,7
8,8.462903341280906,9.17994902072755,17,8
9,10.622975918112607,10.055879594463052,17,9
0,10.32249485611168,10.069548104524225,18,0
1,9.902297488854403,9.294882532229192,18,1
2,9.510712601439533,9.665566367456503,18,2
3,10.202867282379902,9.99622418040671,18,3
4,10.184494601490394,10.996653019753284,18,4
5,10.252116343874706,9.29974573254831,18,5
6,9.121709126247577,10.960652497375554,18,6
7,9.66251621383996,9.465074459643972,18,7
8,8.547698928310153,8.958909263866191,18,8
9,10.473092927570333,10.40219972627249,18,9
0,10.326292546922158,9.995109206202471,19,0
1,10.167231986708737,9.301835564256974,19,1
2,9.509874029354576,9.604143241382841,19,2
3,9.95286063433306,9.996678960023985,19,3
4,10.317545895166536,10.708960078391442,19,4
5,10.27600738928507,9.211152765998309,19,5
6,9.280093687507726,10.892469399183863,19,6
7,9.595672408484061,9.4328547905957,19,7
8,8.593401499091723,8.772098434266354,19,8
9,10.715052957023058,10.001057538310514,19,9
0,9.997821369744155,10.134112714009891,20,0
1,10.401974473943858,9.395434125814498,20,1
2,9.632669096103601,9.885218682204835,20,2
3,10.020609663000197,9.894048414598199,20,3
4,10.181617851640471,10.40121994370828,20,4
5,10.287457329279126,8.894582190589746,20,5
6,9.501423880830458,10.740375767939724,20,6
7,9.630383201488794,9.530929809574022,20,7
8,8.795841454840113,8.849507334751985,20,8
9,10.657577445093072,10.074828188585021,20,9
0,10.035156933507839,10.060962745446421,21,0
1,10.333386138203974,9.521860715730122,21,1
