,spoc,riemann,n_components,fold_idx
0,17.801101936324166,15.52630301698296,1,0
1,12.240744515802781,12.456588849469231,1,1
2,13.030709062545046,13.321340704245475,1,2
3,14.295299506916194,12.218000956793025,1,3
4,15.55036216467415,13.040762354816906,1,4
5,14.197400323965999,13.926471920296672,1,5
6,13.145020584840475,13.23965360484338,1,6
7,13.964524672026892,13.11557668651713,1,7
8,15.217279319732075,14.318345040214782,1,8
9,12.682031516074778,13.130635828035661,1,9
0,18.366618347352116,14.202487253589036,2,0
1,12.149112080932886,12.801425350663427,2,1
2,11.799278556886721,11.555661934620932,2,2
3,12.609273247811428,12.230509907610589,2,3
4,12.838551842330771,11.779611247375946,2,4
5,13.675483037979639,13.043335968754203,2,5
6,13.861677045763056,12.484780355831981,2,6
7,13.039041694745258,11.86624147608313,2,7
8,13.651943925288831,12.760893242943249,2,8
9,11.13149311090386,12.127797956105704,2,9
0,16.99377376903885,12.156147882359559,3,0
1,12.195530637598171,12.130279627091,3,1
2,10.798310512698869,10.79263699900344,3,2
3,11.866652979216662,10.126886528165198,3,3
4,12.115664887299923,11.077670462923198,3,4
5,12.646962689672012,11.955794336266274,3,5
6,13.233577493758446,11.487578252338855,3,6
7,12.417950835234672,10.363176526771685,3,7
8,12.587717774158579,11.321437524779807,3,8
9,10.665206608336028,10.588323076457549,3,9
0,17.130534591426017,10.911825211434904,4,0
1,12.293819239004547,11.272844640306046,4,1
2,10.859442482313808,9.134573189541124,4,2
3,12.268446228335325,9.825441784977436,4,3
4,11.912399652357855,9.928819298437638,4,4
5,12.125521060494197,11.613824566510315,4,5
6,13.080944065668463,10.977625148549727,4,6
7,11.958097698988698,9.43044384454773,4,7
8,12.868896901984899,9.069762651073246,4,8
9,11.217735943253931,10.27936096223351,4,9
0,15.49502191365078,10.752057007198045,5,0
1,12.217678576010872,11.883944839337675,5,1
2,11.438977805701727,9.106072594450616,5,2
3,12.11849993272443,10.342403856324601,5,3
4,11.959156161355052,10.008318322794176,5,4
5,12.179582604499641,11.232945359417675,5,5
6,13.0641167546,11.012213750640873,5,6
7,12.399192436098668,9.664444733934223,5,7
8,13.547116145850303,9.28496690722297,5,8
9,12.309435206327601,9.903165087728485,5,9
0,15.323328143875083,9.87270666290073,6,0
1,11.503039909207759,11.256679428029315,6,1
2,11.768527580967016,7.777319623973609,6,2
3,11.455963284388138,10.259353583085101,6,3
4,11.48468830215192,10.314104425545217,6,4
5,11.800758901989026,11.275679668903752,6,5
6,12.666168649049881,10.593042176687844,6,6
7,11.749534220778953,8.654855008599581,6,7
8,13.142068077612647,9.55267243228853,6,8
9,12.464311298765102,9.558306884772668,6,9
0,14.723123778373559,9.704762727854257,7,0
1,11.553995825572805,10.566989854532205,7,1
2,11.010857648184436,7.509743258157914,7,2
3,10.771704121799143,10.083952156584987,7,3
4,11.683225745030207,9.647070826613321,7,4
5,11.914617191709402,10.568815691700925,7,5
6,12.857522642093276,10.772401556889935,7,6
7,11.943876680819738,8.859802219144706,7,7
8,12.868418400001739,9.455706254015391,7,8
9,12.579982465081006,9.661861660179794,7,9
0,14.686151578306397,8.958089829529657,8,0
1,11.003571932898135,10.38521435293959,8,1
2,11.038787605103321,7.029395433221023,8,2
3,10.565229870802222,9.332977115174554,8,3
4,11.294805017499964,9.410176836834243,8,4
5,11.803770384141076,9.691008378914344,8,5
6,12.805493077550103,10.59096283277051,8,6
7,11.625793249758301,8.807767377245504,8,7
8,12.766497507771113,9.9853072257583,8,8
9,12.17143672322038,10.185068054789873,8,9
0,14.4196825445298,9.068290402667296,9,0
1,11.11770168117247,9.743159890847275,9,1
2,10.653390671100022,7.107042384915445,9,2
3,10.392837653274487,9.025370405260942,9,3
4,11.618818034910184,9.476682354746986,9,4
5,11.766784501165656,9.803861484596673,9,5
6,11.884589024453556,10.010592314925955,9,6
7,11.564556957367984,9.080506029846067,9,7
8,12.752325634330846,9.584798535981427,9,8
9,12.125823634918897,9.607579571717697,9,9
0,14.329477110328503,8.892949138810632,10,0
1,11.19782470205441,10.222369331992736,10,1
2,10.291306236828836,7.01795186583598,10,2
3,10.53959770976881,9.415306212427229,10,3
4,11.651390992706217,9.047502101661166,10,4
5,12.05836182338098,9.578073034236102,10,5
6,11.915005269535092,10.281496554979174,10,6
7,11.66213663512611,8.988962351665583,10,7
8,12.622541210592052,9.695970763999163,10,8
9,11.649063483905186,9.874917746433926,10,9
0,14.356081939798765,7.985498618946887,11,0
1,11.010587687959145,10.181932021010885,11,1
2,10.04006160424358,6.969203465499794,11,2
3,10.650148083981444,9.038648833434303,11,3
4,11.465889761866059,8.80830072891964,11,4
5,11.901428264601225,9.506824880195449,11,5
6,11.930116017747489,9.781651530992052,11,6
7,11.719530499154077,9.057729220528268,11,7
8,12.54902121273772,9.594878685191647,11,8
9,11.770800289432417,9.979206159949047,11,9
0,14.32088165780175,8.432582797577899,12,0
1,10.975546233961786,10.148580099687905,12,1
2,10.111167295779037,6.830412140350444,12,2
3,10.691962718565794,8.785914164707602,12,3
4,11.501645365953664,8.8827779022074,12,4
5,11.786912268279178,9.841617135771761,12,5
6,11.901827974417793,10.076665423654806,12,6
7,11.434862507189155,9.319761278005984,12,7
8,12.507445234739954,10.143664173075141,12,8
9,11.809102686075768,9.899174806165755,12,9
0,14.28781688865061,8.930708102200507,13,0
1,11.026562584844385,10.655051847030718,13,1
2,9.91849649306056,7.241613134234445,13,2
3,10.867990607065382,9.221949115703962,13,3
4,11.716027117205961,8.553223837948815,13,4
5,11.780034874263912,10.416358811467232,13,5
6,12.147043347126312,10.021448849633465,13,6
7,11.070572048848517,9.660059315709264,13,7
8,12.561439336261481,10.462324769028355,13,8
9,11.611349858924259,9.878583061883488,13,9
0,14.081453532717584,9.16416656706804,14,0
1,10.941794787200816,10.790709750657543,14,1
2,10.09015637788473,7.600873126867478,14,2
3,10.947111293659757,9.265398319677207,14,3
4,11.780258316595642,9.129368038009401,14,4
5,11.730348963688387,10.347356269220503,14,5
6,12.225867484075215,9.777943530964256,14,6
7,11.038937505224904,9.09881767887264,14,7
8,12.515898499471525,10.167621831471195,14,8
9,11.665333592248807,9.90501370325305,14,9
0,14.24402647728964,8.920778309868679,15,0
1,11.136925570940466,10.3971803144253,15,1
2,10.140128381789642,7.80769318879474,15,2
3,11.039044739587158,9.30133815109117,15,3
4,11.999962623457726,9.146153705145528,15,4
