,spoc,riemann,n_components,fold_idx
1,0.41119905787758504,0.07480906141005561,13,1
2,0.4223954758553866,-0.00925437591600975,13,2
3,0.40664400232247655,-0.00469999715218572,13,3
4,0.5506442552927698,-0.13508788712417785,13,4
5,0.5172514988201901,-0.014672200718058637,13,5
6,0.5864475244000069,-0.19442278752279796,13,6
7,0.22631815632688523,0.10022095509722173,13,7
8,0.22021154023742817,-1.0903013291738457,13,8
9,0.6090491761682313,0.18055069374163457,13,9
0,0.38265804767141576,0.07328727187477846,14,0
1,0.36498504476470417,-0.07670305644644926,14,1
2,0.178888446805202,0.21801641620804169,14,2
3,0.585683020026025,-0.07670305644644926,14,3
4,0.3752139020972737,0.18122422769290425,14,4
5,0.40726369419390684,-0.5964502604583155,14,5
6,0.3752139020972737,-0.48793244787242696,14,6
7,0.2199935355935274,-0.5964502604583155,14,7
8,0.5603972044047726,0.15321448215671618,14,8
9,0.6085567729162005,0.2996916836510727,14,9
0,0.29101707267427546,0.2520439304460469,15,0
1,0.37803158782764323,0.0826390225913719,15,1
2,0.2801294869514298,0.1320447493363197,15,2
3,0.5168697003597438,-0.1789067332099088,15,3
4,0.5700580506890081,0.26375779276961275,15,4
5,0.3723675426883909,0.2520439304460469,15,5
6,0.22046522874519214,0.0826390225913719,15,6
7,0.5915602857699016,0.26375779276961275,15,7
8,0.47474737395540845,0.46935902888312153,15,8
9,0.42932513278848117,0.10781934802934545,15,9
0,0.41034970142391003,0.20001481022785728,16,0
1,0.42336581055514877,0.2296927342094648,16,1
2,0.28899220177760476,0.32865621077513596,16,2
3,0.5123174299600869,0.20001481022785728,16,3
4,0.29199567991739916,-0.5415626570642593,16,4
5,0.21611729509049982,-0.0010785458023119254,16,5
6,0.29199567991739916,-0.0858363664405617,16,6
7,0.07763412621239385,-0.03284519500753236,16,7
8,0.13627800164046666,0.1486500885927916,16,8
9,0.20685223771902217,0.32865621077513596,16,9
0,0.13564291090007685,0.12232265557022204,17,0
